pile_id,power,pileType,station_id
10010001.0,7.0,AC,1001.0
10010002.0,7.0,AC,1001.0
10010003.0,7.0,AC,1001.0
10010004.0,7.0,AC,1001.0
10010005.0,7.0,AC,1001.0
10010006.0,7.0,AC,1001.0
10010007.0,7.0,AC,1001.0
10010008.0,7.0,AC,1001.0
10010009.0,7.0,AC,1001.0
10010010.0,7.0,AC,1001.0
10010011.0,7.0,AC,1001.0
10010012.0,7.0,AC,1001.0
10010013.0,7.0,AC,1001.0
10010014.0,7.0,AC,1001.0
10010015.0,7.0,AC,1001.0
10010016.0,7.0,AC,1001.0
10010017.0,7.0,AC,1001.0
10010018.0,7.0,AC,1001.0
10010019.0,7.0,AC,1001.0
10010020.0,7.0,AC,1001.0
10020001.0,7.0,AC,1002.0
10020002.0,7.0,AC,1002.0
10020003.0,7.0,AC,1002.0
10020004.0,7.0,AC,1002.0
10020005.0,7.0,AC,1002.0
10020006.0,7.0,AC,1002.0
10020007.0,7.0,AC,1002.0
10020008.0,7.0,AC,1002.0
10020009.0,7.0,AC,1002.0
10020010.0,7.0,AC,1002.0
10020011.0,7.0,AC,1002.0
10020012.0,7.0,AC,1002.0
10020013.0,7.0,AC,1002.0
10020014.0,7.0,AC,1002.0
10020015.0,7.0,AC,1002.0
10020016.0,7.0,AC,1002.0
10020017.0,7.0,AC,1002.0
10020018.0,7.0,AC,1002.0
10020019.0,7.0,AC,1002.0
10020020.0,7.0,AC,1002.0
10020021.0,7.0,AC,1002.0
10020022.0,7.0,AC,1002.0
10030001.0,7.0,AC,1003.0
10030002.0,7.0,AC,1003.0
10030003.0,7.0,AC,1003.0
10030004.0,7.0,AC,1003.0
10030005.0,7.0,AC,1003.0
10030006.0,7.0,AC,1003.0
10040001.0,7.0,AC,1004.0
10040002.0,7.0,AC,1004.0
10040003.0,7.0,AC,1004.0
10040004.0,7.0,AC,1004.0
10040005.0,60.0,DC,1004.0
10040006.0,60.0,DC,1004.0
10040007.0,60.0,DC,1004.0
10040008.0,60.0,DC,1004.0
10040009.0,7.0,AC,1004.0
10040010.0,7.0,AC,1004.0
10040011.0,60.0,DC,1004.0
10060001.0,7.0,AC,1006.0
10060002.0,7.0,AC,1006.0
10060003.0,7.0,AC,1006.0
10060004.0,7.0,AC,1006.0
10060005.0,7.0,AC,1006.0
10060006.0,7.0,AC,1006.0
10060007.0,7.0,AC,1006.0
10060008.0,7.0,AC,1006.0
10060009.0,7.0,AC,1006.0
10060010.0,7.0,AC,1006.0
10060011.0,7.0,AC,1006.0
10060012.0,7.0,AC,1006.0
10060013.0,7.0,AC,1006.0
10060014.0,7.0,AC,1006.0
10060015.0,7.0,AC,1006.0
10060016.0,7.0,AC,1006.0
10060017.0,7.0,AC,1006.0
10060018.0,7.0,AC,1006.0
10060019.0,7.0,AC,1006.0
10060020.0,7.0,AC,1006.0
10080001.0,7.0,AC,1008.0
10080002.0,7.0,AC,1008.0
10080003.0,7.0,AC,1008.0
10080004.0,7.0,AC,1008.0
10080005.0,7.0,AC,1008.0
10080006.0,7.0,AC,1008.0
10080007.0,7.0,AC,1008.0
10080008.0,7.0,AC,1008.0
10080009.0,7.0,AC,1008.0
10080010.0,7.0,AC,1008.0
10080011.0,7.0,AC,1008.0
10080012.0,7.0,AC,1008.0
10080013.0,7.0,AC,1008.0
10080014.0,7.0,AC,1008.0
10080015.0,7.0,AC,1008.0
10080016.0,7.0,AC,1008.0
10080017.0,7.0,AC,1008.0
10080018.0,7.0,AC,1008.0
10080019.0,7.0,AC,1008.0
10080020.0,7.0,AC,1008.0
10080021.0,7.0,AC,1008.0
10080022.0,7.0,AC,1008.0
10080023.0,7.0,AC,1008.0
10080024.0,7.0,AC,1008.0
10080025.0,7.0,AC,1008.0
10080026.0,7.0,AC,1008.0
10080027.0,7.0,AC,1008.0
10080028.0,7.0,AC,1008.0
10080029.0,7.0,AC,1008.0
10080030.0,7.0,AC,1008.0
10080031.0,7.0,AC,1008.0
10080032.0,7.0,AC,1008.0
10080033.0,7.0,AC,1008.0
10080034.0,7.0,AC,1008.0
10080035.0,7.0,AC,1008.0
10080036.0,60.0,DC,1008.0
10080037.0,60.0,DC,1008.0
10080038.0,60.0,DC,1008.0
10080039.0,7.0,AC,1008.0
10080040.0,7.0,AC,1008.0
10080041.0,60.0,DC,1008.0
10080042.0,7.0,AC,1008.0
10080043.0,60.0,DC,1008.0
10080044.0,60.0,DC,1008.0
10090001.0,150.0,DC,1009.0
10090002.0,150.0,DC,1009.0
10090003.0,150.0,DC,1009.0
10090004.0,150.0,DC,1009.0
10090005.0,150.0,DC,1009.0
10090006.0,150.0,DC,1009.0
10090007.0,150.0,DC,1009.0
10090008.0,150.0,DC,1009.0
10090009.0,150.0,DC,1009.0
10090010.0,150.0,DC,1009.0
10090011.0,150.0,DC,1009.0
10090012.0,150.0,DC,1009.0
10090013.0,150.0,DC,1009.0
10090014.0,150.0,DC,1009.0
10090015.0,150.0,DC,1009.0
10090016.0,150.0,DC,1009.0
10090017.0,150.0,DC,1009.0
10090018.0,150.0,DC,1009.0
10090019.0,150.0,DC,1009.0
10090020.0,150.0,DC,1009.0
10090021.0,150.0,DC,1009.0
10090022.0,150.0,DC,1009.0
10090023.0,150.0,DC,1009.0
10090024.0,150.0,DC,1009.0
10090025.0,135.0,DC,1009.0
10090026.0,150.0,DC,1009.0
10090027.0,135.0,DC,1009.0
